State/UT,District,Households_Rural,Households_Rural_Livable,Households_Rural_Dilapidated,Households_Rural_Toilet_Premise,Households_Urban,Households_Urban_Livable,Households_Urban_Dilapidated,Households_Urban_Toilet_Premise
Uttar Pradesh,Sant Ravidas Nagar (Bhadohi),293510.0,140004.27,18197.62,36982.26,45997.0,20238.68,2621.829,25574.332000000002
Uttar Pradesh,Mirzapur,465152.0,240018.432,22327.296000000002,89309.18400000001,77963.0,31730.941000000003,2728.705,53404.655
Uttar Pradesh,Sonbhadra,337048.0,188072.78399999999,6066.8640000000005,46175.575999999994,91040.0,31317.76,4278.88,64365.28
Uttar Pradesh,Etah,334246.0,189183.236,23397.22,30750.631999999998,67752.0,29404.368,2100.312,53049.816
Uttar Pradesh,Kanshiram Nagar,271234.0,166808.91,24139.826,30378.208,72490.0,36317.49,3189.56,55744.81
Bihar,Pashchim Champaran,839514.0,531412.362,41136.186,96544.11,96620.0,50145.78,7149.88,52078.18
Bihar,Purba Champaran,1142260.0,639665.6,63966.56,177050.3,101565.0,43571.385,5789.205,54845.1
Bihar,Sheohar,158484.0,94456.464,5388.456,31379.832000000002,7516.0,3382.2,601.28,2773.4039999999995
Bihar,Sitamarhi,807294.0,473881.57800000004,50052.227999999996,150963.978,49670.0,20762.059999999998,3228.55,30050.35
Bihar,Madhubani,1047552.0,532156.416,49234.944,181226.496,41234.0,17606.918,2927.6139999999996,22884.87
Bihar,Supaul,572287.0,355390.227,28042.063000000002,52078.117,27815.0,14408.17,2169.57,13017.42
Bihar,Araria,659061.0,424435.28400000004,24385.257,44157.087,44213.0,21443.305,2829.632,24007.659
Bihar,Kishanganj,401793.0,249915.246,14062.755,24911.166,43357.0,20117.648,3425.203,22502.283
Bihar,Purnia,712847.0,464063.39699999994,36355.197,61304.842000000004,85749.0,39530.289,8317.652999999998,50677.65900000001
Bihar,Katihar,668232.0,414303.84,33411.6,84865.464,69838.0,29541.474,4958.498,47839.03
Bihar,Madhepura,486278.0,311217.92,30149.236,54949.414000000004,24000.0,11016.0,2087.9999999999995,12312.0
Bihar,Saharsa,432651.0,278194.593,28554.965999999997,54081.375,38046.0,16397.826,2815.4040000000005,25719.095999999998
Bihar,Darbhanga,907174.0,478987.872,73481.094,189599.36599999998,95539.0,38215.6,8598.51,64011.13
Bihar,Muzaffarpur,998694.0,603211.176,83890.296,218713.98599999998,120700.0,43693.4,8207.6,93059.7
Bihar,Gopalganj,515925.0,273956.175,41274.0,93382.425,38133.0,15100.668,2326.113,19371.564
Bihar,Siwan,632514.0,294751.52400000003,51866.148,127767.828,41858.0,14399.152,2553.3379999999997,29886.612
Bihar,Saran,701323.0,360480.02199999994,61015.100999999995,124835.494,76299.0,31664.085,6027.621,45016.41
Bihar,Vaishali,699317.0,397911.37299999996,86015.991,174829.25,51494.0,22966.324,5458.3640000000005,31926.28
Bihar,Samastipur,1012979.0,599683.5680000001,98258.96299999999,172206.43,43486.0,16785.596,2826.59,30527.172000000002
Bihar,Begusarai,594377.0,339389.26700000005,68947.732,151566.135,139248.0,60572.88,13646.304000000002,80346.096
Bihar,Khagaria,373696.0,219733.24800000002,33258.943999999996,81092.032,21007.0,9936.311,1512.504,13927.640999999998
Bihar,Bhagalpur,522527.0,307245.876,45982.376000000004,131154.277,130634.0,55911.35199999999,10058.818000000001,93664.57800000001
Bihar,Banka,425604.0,257490.42,28941.071999999996,47242.043999999994,18492.0,8672.748,943.092,8284.416
Bihar,Munger,222281.0,130256.666,17560.199,58015.34100000001,85782.0,33626.544,5747.394,63650.244000000006
Bihar,Lakhisarai,175882.0,103594.49799999999,13542.914,47136.376000000004,31763.0,16612.049,2668.092,19566.008
Bihar,Sheikhpura,108293.0,64975.8,10179.542000000001,26315.199,24345.0,10882.215,1801.53,12708.09
Bihar,Nalanda,514141.0,306428.036,48843.395,117224.148,102522.0,42854.195999999996,7279.062,75456.192
Bihar,Patna,657991.0,384266.744,59877.181,181605.516,552103.0,171151.93,28709.356,477569.095
Bihar,Bhojpur,434559.0,251175.10199999998,37806.633,89084.595,77368.0,31798.248000000003,6344.1759999999995,53074.448
